11622	100	1	12.5489	12.0635	3.44279	0.309827	-0.0177414	-0.149935	0.04853
11624	100	0	12.6781	12.1868	3.481	0.31473	-0.0140412	-0.169296	-0.0109258
11625	100	0	12.6234	12.1339	3.46684	0.313936	-0.019654	-0.161315	0.0802778
11627	100	0	12.5997	12.1105	3.46271	0.313306	-0.0260916	-0.0719702	0.000569106
11629	100	0	12.3069	11.8285	3.38426	0.305358	-0.0437547	-0.592506	-0.0944355
11634	100	0	12.4963	12.0107	3.43645	0.302033	-0.00492472	-0.562707	-0.049073
11642	100	0	12.5573	12.0735	3.43914	0.29455	-0.00323562	-0.572748	-9.10451e-05
11656	100	0	13.0264	12.5293	3.54957	0.324386	-0.0176264	-0.0641674	0.0735584
11657	100	0	13.0608	12.5624	3.55878	0.325561	-0.000825018	-0.476998	-0.0114752
11658	100	0	13.072	12.5732	3.56176	0.326721	-0.00816095	-0.474013	-0.0319758
11672	100	0	13.3512	12.8347	3.66471	0.309109	0.0292468	-0.359536	0.0146135
11681	100	0	13.0386	12.5261	3.60793	0.289286	-0.027122	-0.0141632	0.0722558
11722	100	1	14.0067	13.4804	3.78764	0.346707	0.0605113	-0.547801	0.130143
11725	100	1	14.0244	13.4986	3.78787	0.354425	0.0150962	-0.00204189	0.0946579
13356	100	1	7.47484	7.43104	0.799216	-0.118952	0.34212	-0.0292184	1.04458
13358	100	1	7.37699	7.33359	0.789482	-0.12335	0.30092	-0.0242564	1.02558
13359	100	1	7.43311	7.3893	0.795775	-0.127025	0.290547	-0.0510345	1.04027
13361	100	0	7.38407	7.34023	0.793405	-0.126777	0.227461	-0.0277164	1.03319
13362	100	0	7.34331	7.29975	0.78874	-0.125365	0.241172	-0.195645	-1.02532
13364	100	0	7.34073	7.29696	0.790185	-0.128033	0.195375	-0.20474	-1.03769
13369	100	0	7.3055	7.26161	0.788763	-0.131051	0.165079	-0.167978	-1.02489
13370	100	0	7.33023	7.28621	0.791359	-0.130834	0.16377	-0.054654	1.01563
13373	100	1	7.28514	7.24107	0.790333	-0.125073	0.235166	-0.107057	0.99227
13377	100	0	7.22494	7.18077	0.7898	-0.112038	0.291435	-0.0772541	0.976072
13379	100	1	7.18294	7.13882	0.787766	-0.106719	0.302691	-0.143646	-0.942064
13381	100	0	7.18271	7.13857	0.788457	-0.102491	0.330093	-0.0648439	0.969648
13382	100	1	7.21229	7.16791	0.792471	-0.101145	0.363362	-0.0687246	0.958677
13383	100	0	7.18535	7.14111	0.790121	-0.0980279	0.37712	-0.0736422	0.953805
13384	100	0	7.19905	7.1547	0.792096	-0.0961776	0.394107	-0.0718102	0.947596
13385	100	1	7.19055	7.14619	0.791961	-0.093655	0.401364	-0.158207	-0.882436
13386	100	1	7.20793	7.16347	0.793999	-0.0927453	0.4058	-0.0446376	0.941947
13387	100	0	7.19119	7.14678	0.792919	-0.089935	0.418471	-0.16902	-0.871605
13388	100	1	7.21101	7.16657	0.794257	-0.0903581	0.398448	-0.0121241	0.929217
13389	100	1	7.20919	7.16482	0.793587	-0.089766	0.394274	-0.00458302	0.917122
13390	100	1	7.20323	7.15895	0.792415	-0.0902885	0.374614	0.00915333	0.908308
13392	100	1	7.23353	7.18923	0.794158	-0.0908092	0.315453	0.0438528	0.9054
13393	100	1	7.24162	7.1974	0.794065	-0.0893895	0.300191	-0.27877	-0.855993
13551	100	0	7.28816	7.24846	0.755152	-0.0825347	0.419949	-0.203339	0.991842
13553	100	1	7.37896	7.33858	0.766066	-0.0862855	0.411074	-0.24637	0.993956
13554	100	1	7.29202	7.25216	0.756528	-0.0859873	0.407784	-0.212902	1.01084
13555	100	0	7.26364	7.22385	0.75409	-0.0879534	0.439185	-0.267096	1.04376
13556	100	0	7.25791	7.21809	0.754334	-0.0863962	0.407973	-0.241136	1.01735
13557	100	0	7.30591	7.26564	0.76102	-0.087275	0.401931	-0.250252	1.01264
13559	100	0	7.24053	7.20051	0.755397	-0.0854253	0.396767	-0.188213	1.01679
13560	100	1	7.3643	7.32329	0.771117	-0.0878641	0.390569	-0.253749	1.00575
13561	100	1	7.34197	7.30098	0.769765	-0.0875532	0.393978	-0.228503	1.00643
13563	100	0	7.26808	7.22751	0.761922	-0.0868734	0.395077	-0.201119	1.01369
13564	100	0	7.28401	7.24331	0.763948	-0.0872658	0.391514	-0.198191	1.01258
13565	100	1	7.35748	7.3162	0.773125	-0.0892744	0.389828	-0.23741	1.00433
13566	100	1	7.33178	7.29062	0.770628	-0.0891482	0.390649	-0.223448	1.00879
13567	100	0	7.30411	7.26312	0.767493	-0.0892618	0.395231	-0.210606	1.01035
13568	100	0	7.34696	7.30566	0.772677	-0.0900709	0.396514	-0.232046	1.00664
13569	100	0	7.33927	7.29798	0.772137	-0.0901571	0.393763	-0.224293	1.00758
13570	100	0	7.27608	7.23519	0.765171	-0.0889868	0.389946	-0.187986	1.01033
13571	100	0	7.29432	7.25326	0.767679	-0.0895273	0.389032	-0.204835	1.00912
13572	100	0	7.3164	7.27514	0.770701	-0.0899818	0.389473	-0.219885	1.00738
13573	100	0	7.29662	7.25554	0.768019	-0.0894572	0.389463	-0.207397	1.00893
13574	100	0	7.27992	7.23897	0.765912	-0.0891123	0.386429	-0.194266	1.0099
13575	100	0	7.25333	7.21257	0.762761	-0.0884754	0.383439	-0.182682	1.01199
13576	100	0	7.29498	7.25392	0.767785	-0.0890532	0.37492	-0.199424	1.0065
13577	100	0	7.2919	7.25085	0.767498	-0.0886821	0.37625	-0.198667	1.00341
