frame id	detection id	hamming distance	distance	x	y	z	yaw	pitch	roll
7	10	0	1.71264	1.623	0.44388	-0.319312	-0.694937	-0.48833	-1.28854
7	11	0	1.56072	1.30538	0.779154	-0.353201	0.132451	-0.117234	-0.622337
7	124	0	7.56928	6.61112	-3.13607	-1.93706	-3.05718	0.268461	0.838458
7	203	0	7.24221	6.45288	-2.64145	-1.95772	3.10144	0.223059	1.03744
7	15	0	1.49766	1.29247	0.541107	-0.528881	0.0394778	-0.570269	-0.166912
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
8	129	1	3.75893	3.72655	-0.0339374	0.491161	-3.03658	0.0172055	-1.38801
8	123	0	3.833	3.45791	1.64783	0.139201	1.37534	-0.00782551	1.69141
8	8	0	1.68913	1.46341	0.817125	-0.209513	0.124105	-0.114147	-1.04132
8	9	0	1.64573	1.51194	0.610003	-0.224435	-0.255516	-0.323201	-1.11709
8	10	0	1.71172	1.62208	0.44375	-0.319265	-0.693774	-0.487041	-1.2883
8	11	0	1.56117	1.30557	0.779619	-0.353462	0.131632	-0.116993	-0.621352
8	124	0	7.56699	6.60912	-3.13512	-1.93644	-3.05471	0.271664	0.83904
8	203	0	7.29402	6.49904	-2.66036	-1.97174	3.10197	0.209425	1.02859
8	15	0	1.49725	1.29195	0.541202	-0.528899	0.0381697	-0.571839	-0.168783
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
9	129	1	3.75904	3.72666	-0.033921	0.491212	-3.03669	0.0168848	-1.38823
9	123	0	3.83437	3.45915	1.64844	0.139249	1.3752	-0.00731782	1.69108
9	8	0	1.6891	1.46321	0.817395	-0.209577	0.124144	-0.114695	-1.04094
9	9	0	1.64467	1.51087	0.609827	-0.224337	-0.254746	-0.322045	-1.1168
9	10	0	1.7134	1.62361	0.444406	-0.319605	-0.693058	-0.486366	-1.28652
9	11	0	1.5608	1.30509	0.779682	-0.353457	0.132308	-0.116964	-0.621511
9	124	0	7.51701	6.56549	-3.11441	-1.92363	-3.0629	0.273875	0.853627
9	203	0	7.26581	6.47397	-2.64998	-1.964	3.10091	0.214356	1.03442
9	15	0	1.49654	1.29118	0.541187	-0.528771	0.0399778	-0.568954	-0.163519
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
10	129	1	3.75861	3.72622	-0.0339414	0.491188	-3.0367	0.0139849	-1.38843
10	123	0	3.83124	3.45628	1.64715	0.139128	1.37402	-0.00580454	1.69163
10	8	0	1.68993	1.4638	0.818028	-0.209716	0.124288	-0.115334	-1.04073
10	9	0	1.64479	1.51087	0.610134	-0.224363	-0.253642	-0.321762	-1.11661
10	10	0	1.71349	1.62362	0.444679	-0.319618	-0.692831	-0.487364	-1.28591
10	11	0	1.56001	1.30429	0.779507	-0.353319	0.132737	-0.115885	-0.622006
10	124	0	7.54409	6.58913	-3.12565	-1.93055	-3.06177	0.269348	0.847938
10	203	0	7.24435	6.45487	-2.64214	-1.95817	3.0974	0.214876	1.03811
10	15	0	1.49643	1.29099	0.541347	-0.528763	0.0390813	-0.571649	-0.166067
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
11	129	1	3.75821	3.72582	-0.0339481	0.491154	-3.03589	0.0152835	-1.38841
11	123	0	3.84306	3.46695	1.65222	0.139785	1.37777	-0.0136586	1.69036
11	8	0	1.69062	1.46425	0.818619	-0.20981	0.12407	-0.115898	-1.04044
11	9	0	1.64555	1.51146	0.61069	-0.224471	-0.253172	-0.321743	-1.11584
11	10	0	1.71168	1.62186	0.444399	-0.319251	-0.693526	-0.487569	-1.2872
11	11	0	1.56037	1.30445	0.779914	-0.353414	0.132886	-0.11611	-0.621669
11	124	0	7.59266	6.63155	-3.14577	-1.94296	-3.05461	0.2663	0.834218
11	203	0	7.31087	6.51412	-2.66642	-1.97617	3.1048	0.207452	1.026
11	15	0	1.49694	1.29135	0.54177	-0.528899	0.0389468	-0.571193	-0.167781
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
12	129	1	3.75807	3.72568	-0.0339517	0.49114	-3.03553	0.0149614	-1.3884
12	123	0	3.84215	3.46612	1.65184	0.139774	1.37687	-0.011757	1.6904
12	8	0	1.6897	1.46329	0.818469	-0.209702	0.124725	-0.116232	-1.04092
12	10	0	1.7139	1.62389	0.445317	-0.319586	-0.692874	-0.486348	-1.2866
12	11	0	1.56063	1.30452	0.780289	-0.353469	0.132846	-0.116366	-0.621931
12	124	0	7.57271	6.61416	-3.13746	-1.93783	-3.0574	0.268689	0.841615
12	203	0	7.28257	6.48892	-2.65609	-1.96849	3.10038	0.208365	1.03143
12	15	0	1.49689	1.29122	0.542013	-0.528812	0.0386128	-0.572499	-0.168225
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
13	129	1	3.75685	3.72447	-0.0339334	0.490992	-3.03475	0.0163809	-1.38852
13	123	0	3.84036	3.46451	1.65106	0.139746	1.37705	-0.0120068	1.69045
13	8	0	1.6879	1.46157	0.817901	-0.209412	0.125265	-0.115006	-1.04163
