frame id	x	y	z	a	bi	cj	dk
0	-0.39968776967255154	-0.3948387001782123	-1.7919775514539311	0.9326453288014748	-0.029400921218845924	0.33622757020068883	0.12751195055057957
1	-0.3995215229254409	-0.39462498627936343	-1.7907057548465615	0.9330493436233912	-0.02931301736555731	0.33507871206832107	0.1276006508428565
2	-0.4090096022105996	-0.3675235610103213	-1.8037844300411927	0.9333991280386407	-0.03249808651859316	0.3327076686027951	0.1304436637105379
3	-0.4089843573004302	-0.367285226024873	-1.8027839000292514	0.9336002328663929	-0.03455895005245306	0.33145798017543865	0.13165064200795712
4	-0.4094375128167953	-0.36745673905584614	-1.8047561140470538	0.933154027878979	-0.031185458114930165	0.3341651433971029	0.1287815374725473
5	-0.40947380741120115	-0.3672920143244151	-1.8041663738613163	0.9331900931424896	-0.03231848708729667	0.3337743448221876	0.1292534417012525
6	-0.40975029866263907	-0.3673803644262918	-1.8047744069941414	0.9331585779253837	-0.03177224910721237	0.3341463353887959	0.1286538735413085
7	-0.40973137358903045	-0.3674293710986163	-1.8045195094520927	0.9328932599912235	-0.033888274510094754	0.33436801292766877	0.12945957764676416
8	-0.38730969686510086	-0.3728750533000444	-1.8044199038967286	0.933234713815652	-0.03144830963226179	0.33411366311737734	0.12826547808735925
9	-0.3867439495942143	-0.3725733303247204	-1.802501339589697	0.934334262492994	-0.03432858046271786	0.3296950744085656	0.13092819561048782
10	-0.4071275784043276	-0.3657804526798185	-1.7955369572929252	0.9350949074801843	-0.050131944539540924	0.32061909929226057	0.14243488094680257
11	-0.3996245740363944	-0.3939148148097144	-1.7926481912801595	0.9334441387917003	-0.028588540946008833	0.3345609570230194	0.1262287650174906
12	-0.38600230817024495	-0.3723024622266485	-1.8050285216958701	0.9334185787746975	-0.031961157321891726	0.3331807533270241	0.12922394063526196
13	-0.408639972299712	-0.3673015757364864	-1.8089728727339283	0.9325654824193723	-0.02919792551321521	0.3366567486647214	0.12700919543145978
14	-0.38552387625615053	-0.3726305467921919	-1.8045471445465666	0.9340180380442836	-0.03414122420266569	0.3302274780832022	0.13188818801037006
15	-0.40842993135746675	-0.3683866347267058	-1.808991860563503	0.9322169474085881	-0.029509563249710054	0.3374874711782005	0.12729083014407805
16	-0.39919663857810134	-0.3960504288533013	-1.7941450992113726	0.9321854596541429	-0.030178590367551446	0.3375659145348304	0.1271564974237855
17	-0.39993422037207293	-0.39730908722942715	-1.7954333163009588	0.9306829044687758	-0.030701377451428872	0.3419739944473831	0.12625586669081912
18	-0.38728154837201834	-0.3763974727449959	-1.8069789703893608	0.931625915845333	-0.031595673896856656	0.3386647916948521	0.1279883790921273
19	-0.3883054822372937	-0.3774322490463841	-1.8083372147274532	0.9307270637426801	-0.031043800762466357	0.34166667355107583	0.1266779358676635
20	-0.3888867988484916	-0.3780305013546573	-1.8068687737100282	0.9312133448476262	-0.03275150051562657	0.3396926461527065	0.1279763718091865
21	-0.3899546427426845	-0.378684714660591	-1.8068971204728914	0.9307765741720245	-0.032378484990270635	0.341274724716596	0.12703607736362182
22	-0.390545850845832	-0.378975340756929	-1.8041863356353682	0.931524171276043	-0.03646626806045456	0.3377276300780429	0.12989602574402628
23	-0.378586084704099	-0.4098607711344684	-1.787960288240693	0.9307332602928154	-0.03438878842246118	0.3413689133729456	0.12657122263024828
24	-0.39201902513929987	-0.38031248623955255	-1.803773825764598	0.9306187223814012	-0.03559515313507154	0.3410611541200543	0.12790257142370376
25	-0.3926601443380057	-0.38080503858878123	-1.8016574340009814	0.9311384266257129	-0.038741764721427506	0.3385425273609078	0.12988172810426588
26	-0.3931423513754467	-0.3813120235458644	-1.8003621927626192	0.9312262420994287	-0.03860394771542969	0.3385057242968007	0.1293881596764509
27	-0.3922481534895405	-0.3805480075118029	-1.791385155507276	0.9348316163353122	-0.05292126731858862	0.3210609527477702	0.142158549465012
28	-0.3940311482598047	-0.3820866024187147	-1.7987751301021528	0.9316402811213472	-0.04106106975051713	0.3365630037444627	0.13071235463254854
29	-0.39445255493784004	-0.38231692070119616	-1.797938940024234	0.9321468354630368	-0.040664418701874136	0.3352294183313898	0.13065190114607203
30	-0.3949151656005626	-0.3828819395652964	-1.7983299212555222	0.9314656038592415	-0.04151511159221937	0.3372774990066896	0.12997004655079722
31	-0.3949534554922035	-0.3832305741059572	-1.7979675885204278	0.9314540095497603	-0.04118439509553428	0.3376221587225655	0.12926156286307586
32	-0.39470981956476886	-0.383331950451655	-1.7964440899207148	0.931513671701854	-0.042611974196976696	0.33704422801794764	0.12987566148956697
33	-0.39469337947436955	-0.383580634357086	-1.7966371862854145	0.931479145992097	-0.0408961635643263	0.3378828957979908	0.12848833843862184
34	-0.3940882581310291	-0.3837514287644294	-1.7947310590567962	0.9317798067630395	-0.043315529056321175	0.3361395169334	0.13007836794403776
35	-0.39389667717220755	-0.38412223370768706	-1.7949442665839737	0.9314775682969596	-0.04298723960268214	0.3372245407473786	0.12954244906070056
36	-0.39339203444820703	-0.38430484001149834	-1.7943542394811154	0.9312945396639055	-0.042988488981246506	0.3377878950602952	0.12939013933850727
37	-0.39251456621491915	-0.38450734506181794	-1.7930833012777752	0.9316590835700599	-0.043211244260214124	0.336535252391652	0.12995446998302007
38	-0.37940371141824397	-0.41529226910049805	-1.7779836972227034	0.9313152255841922	-0.04094990556634706	0.3387305689095586	0.12742314356261616
39	-0.38956328967556486	-0.38384073356553733	-1.7818868812130746	0.9354004466770977	-0.0611020173302122	0.3161057937473697	0.14618370290086982
40	-0.3898862036398065	-0.3847902840212194	-1.786675911946575	0.933251360641339	-0.0517231099462998	0.3275630677893278	0.13809074689861198
41	-0.3902156681218616	-0.3858473402453572	-1.7914657033565249	0.9311216889493428	-0.04470382541467083	0.33719921056083185	0.1315699842614945
42	-0.38974394403444884	-0.3862394334559463	-1.7918121276815266	0.9307593167138641	-0.045004112972623425	0.33801886311487567	0.13192790585928058
43	-0.3893727475074659	-0.3861212525024007	-1.7905674478271951	0.9312867842615983	-0.04598296375612949	0.3358235657109058	0.13346544577944777
44	-0.3893439253126046	-0.38613806583310306	-1.7905987494677817	0.9310116045353118	-0.04576520707592535	0.3366774104211331	0.13330888700308857
