frame id	detection id	hamming distance	distance	x	y	z	yaw	pitch	roll
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
44	100	0	4.30191	4.21201	0.729711	0.482623	0.0431354	0.136707	0.630735
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
45	100	0	4.31171	4.22164	0.731686	0.482896	0.0496753	0.13639	0.622129
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
46	100	0	4.31286	4.22273	0.732481	0.482492	0.0535395	0.132478	0.635359
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
47	100	0	4.30818	4.2181	0.732278	0.481404	0.0530248	0.134514	0.648397
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
48	100	0	4.29948	4.2095	0.731424	0.480324	0.0487579	0.136942	0.652749
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
49	100	0	4.30265	4.21258	0.732237	0.480446	0.0527018	0.131378	0.644293
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
50	100	0	4.31704	4.22653	0.735528	0.481969	0.0574111	0.124571	0.635953
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
51	100	0	4.31477	4.22416	0.736011	0.481626	0.0606419	0.119759	0.63452
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
52	100	0	4.30528	4.21469	0.735466	0.48056	0.0584155	0.123334	0.636684
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
53	100	0	4.30688	4.21616	0.736025	0.48115	0.0625057	0.121564	0.626971
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
54	100	0	4.31711	4.22592	0.738447	0.483442	0.0657475	0.11375	0.622303
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
55	100	0	4.30394	4.21275	0.736869	0.483351	0.0631597	0.114561	0.623825
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
56	100	0	4.30935	4.21778	0.738512	0.485218	0.0610716	0.114682	0.613866
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
57	100	0	4.31152	4.21959	0.739738	0.486858	0.0590348	0.121157	0.603107
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
58	100	0	4.32643	4.23372	0.74326	0.491083	0.0523795	0.103289	0.581905
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
59	100	0	4.31808	4.22504	0.742577	0.493374	0.0466332	0.105635	0.568035
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
60	100	0	4.30975	4.21625	0.742115	0.496415	0.0380056	0.1004	0.551722
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
61	100	0	4.30922	4.21507	0.742811	0.50083	0.0323291	0.0904845	0.533686
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
62	100	0	4.30731	4.21242	0.743409	0.505814	0.028901	0.0786451	0.528297
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
63	100	0	4.31788	4.22199	0.745933	0.512347	0.0283682	0.0620122	0.508659
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
64	100	0	4.30062	4.20428	0.743374	0.516488	0.0144825	0.0685041	0.507214
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
65	100	0	4.29747	4.20023	0.743401	0.52312	0.00549228	0.0636297	0.495047
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
66	100	0	4.29137	4.1932	0.742973	0.530073	-0.00535112	0.0493955	0.484967
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
67	100	0	4.29574	4.19634	0.743942	0.539112	-0.00333543	0.0367616	0.460603
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
68	100	0	4.28593	4.18569	0.741994	0.546502	-0.0120435	0.0391984	0.435311
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
69	100	0	4.26409	4.16313	0.73793	0.553454	-0.0205422	0.0469781	0.428606
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
