frame id	detection id	hamming distance	distance	x	y	z	yaw	pitch	roll
5	129	1	3.74726	3.66687	-0.489089	0.597386	-3.06177	-0.123422	-1.40583
5	123	0	3.85136	3.64511	1.20991	0.286936	1.34154	0.0627379	1.56041
5	7	0	2.03933	1.96739	0.536578	-0.0185341	0.157028	0.573684	-1.23167
5	8	0	1.92065	1.88767	0.352573	-0.0359838	-0.290314	0.397044	-1.01004
5	9	0	1.84484	1.83213	0.17067	-0.132589	-0.65058	0.145009	-0.908004
5	11	0	1.8042	1.73931	0.450428	-0.164453	-0.286996	0.397794	-0.582284
5	10	0	1.857	1.83372	0.0261347	-0.291947	-0.990178	-0.130481	-0.904885
5	13	1	1.94813	1.78869	0.709231	-0.304591	-0.168396	0.822621	-0.235825
5	14	0	1.77932	1.6615	0.533614	-0.347349	-0.284447	0.41132	-0.154575
5	15	0	1.71767	1.63245	0.335908	-0.415537	-0.353095	-0.0351639	-0.165673
5	17	0	1.86805	1.68258	0.590704	-0.55642	-0.288684	0.410264	0.272335
5	22	0	1.91539	1.7554	0.186198	-0.743396	0.247183	-0.268576	0.691571
5	20	0	2.03185	1.78768	0.607926	-0.750368	-0.298814	0.401389	0.717901
5	21	0	1.94741	1.74022	0.399772	-0.777315	-0.0154214	0.0597617	0.65806
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
6	129	1	3.74715	3.66676	-0.489055	0.597362	-3.0611	-0.122137	-1.40572
6	123	0	3.85295	3.6466	1.21042	0.287088	1.34204	0.0630101	1.5605
6	7	0	2.03879	1.9668	0.536677	-0.0185443	0.158327	0.57141	-1.23211
6	8	0	1.92269	1.88964	0.353169	-0.035992	-0.291003	0.39707	-1.00932
6	9	0	1.84542	1.8327	0.170972	-0.132476	-0.650784	0.144243	-0.907591
6	11	0	1.80412	1.73918	0.45061	-0.16446	-0.286382	0.397091	-0.582867
6	10	0	1.85869	1.83541	0.0263334	-0.292068	-0.989958	-0.129783	-0.903933
6	13	0	1.95293	1.79302	0.711207	-0.30523	-0.178744	0.820836	-0.229679
6	15	0	1.71801	1.63276	0.336049	-0.41559	-0.352342	-0.0366136	-0.166463
6	14	0	1.7795	1.66161	0.533792	-0.347453	-0.283281	0.410719	-0.155731
6	17	0	1.86755	1.68208	0.590618	-0.556362	-0.288633	0.410007	0.272259
6	20	0	2.03246	1.78817	0.608089	-0.75071	-0.298201	0.400875	0.718045
6	22	0	1.9156	1.7556	0.186224	-0.743444	0.246917	-0.268199	0.691745
6	21	0	1.94587	1.73886	0.399429	-0.776687	-0.0155731	0.0609948	0.658474
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
7	129	1	3.74596	3.66559	-0.488895	0.597206	-3.06179	-0.12248	-1.40603
7	123	0	3.8519	3.64558	1.21017	0.28694	1.34064	0.0670315	1.56035
7	7	0	2.02619	1.95458	0.533584	-0.0185099	0.164784	0.560364	-1.23693
7	8	0	1.92498	1.89186	0.353737	-0.0360182	-0.29108	0.395803	-1.00865
7	9	0	1.84546	1.83274	0.171041	-0.132468	-0.650078	0.14457	-0.907471
7	11	0	1.80439	1.73942	0.450733	-0.164503	-0.286414	0.397423	-0.582066
7	10	0	1.85755	1.83429	0.0263558	-0.291819	-0.990098	-0.130515	-0.904584
7	13	1	1.95913	1.7987	0.713406	-0.306462	-0.179704	0.821125	-0.225072
7	14	0	1.77953	1.66163	0.53382	-0.3475	-0.283167	0.41096	-0.155325
7	15	0	1.7182	1.63295	0.336088	-0.415625	-0.352235	-0.0371829	-0.166365
7	17	0	1.86718	1.68175	0.590465	-0.556268	-0.288805	0.410093	0.272909
7	20	0	2.03369	1.78928	0.608325	-0.751217	-0.298127	0.399897	0.717957
7	22	0	1.9161	1.7561	0.186188	-0.743572	0.247088	-0.268639	0.691421
7	21	0	1.94715	1.74004	0.399592	-0.777162	-0.0155972	0.060292	0.65812
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
8	129	1	3.74538	3.66504	-0.488756	0.597018	-3.06164	-0.120298	-1.40522
8	123	0	3.85336	3.64696	1.21063	0.287026	1.34043	0.0677369	1.56018
8	7	0	2.04313	1.97119	0.537091	-0.0182323	0.14867	0.59384	-1.22355
8	8	0	1.92525	1.89212	0.353783	-0.0360433	-0.290999	0.39554	-1.00879
8	9	0	1.84548	1.83276	0.171057	-0.132469	-0.6501	0.145085	-0.907457
8	11	0	1.80439	1.73944	0.45069	-0.164538	-0.285757	0.397784	-0.583229
8	10	0	1.8572	1.83396	0.0263262	-0.291708	-0.989996	-0.131218	-0.905417
8	14	0	1.78067	1.66273	0.534005	-0.347742	-0.282735	0.410002	-0.156706
8	15	0	1.71824	1.63303	0.335955	-0.415546	-0.351176	-0.0334396	-0.167501
8	17	0	1.86825	1.68281	0.590526	-0.556589	-0.288247	0.409621	0.272268
8	22	0	1.91669	1.75673	0.186028	-0.743624	0.24783	-0.267615	0.691564
8	20	0	2.03219	1.78808	0.607601	-0.750612	-0.297834	0.400034	0.7181
