frameId	detectionId	distance	projX	projY	projZ
14034	300	6.413452848227582	6.3832039018983675	-0.1261031334352491	0.6092482112946722
14035	300	6.406659058321012	6.376621191591089	-0.1314103767845381	0.6055689732734605
14036	300	6.398916991029598	6.369088244784048	-0.13684966892580475	0.6017688562528329
14037	300	6.395651047283997	6.36600474403759	-0.14137298336293902	0.5986230843284001
14038	300	6.3953150895738125	6.365827315847152	-0.14572981691321202	0.5958695328737348
14039	300	6.386668055909437	6.357421258623363	-0.15033857140558776	0.5917111717091986
14040	300	6.382782142857073	6.353715122423378	-0.15474651591545624	0.5884433210391979
14041	300	6.384353006182137	6.3554371810838095	-0.1584993343719589	0.5858835258377159
14042	300	6.37570422591521	6.346999295153776	-0.1625721018698581	0.5820434995463378
14043	300	6.369049011062129	6.3405674249461415	-0.16646317680281647	0.5781695649133335
14044	300	6.367423032780062	6.339120530841645	-0.17003275188932554	0.5750789833796012
14045	300	6.366009572384543	6.337881681337673	-0.1734954672341122	0.5720428234889368
14046	300	6.367916101918347	6.339924149895251	-0.1767428114750842	0.5696307867714018
14047	300	6.3594944918986265	6.331710325537868	-0.18022372924134625	0.56580381174436
14048	300	6.355157309688643	6.327532560766593	-0.18366398955750268	0.5626932221622939
14049	300	6.3519937866553065	6.3245088242655285	-0.18699232172362645	0.5598634379127465
14050	300	6.345371358774075	6.318037615659125	-0.1902400068889314	0.5567289355203456
14051	300	6.34756541626262	6.320323196943686	-0.19332712725645307	0.5547305848567992
14052	300	6.34405647702186	6.316931499757363	-0.1966835112306296	0.5520367808635672
14053	300	6.341013699389747	6.313992485198941	-0.2002735698065693	0.5494034309473288
14054	300	6.335502160884102	6.3085944450149976	-0.2042617519010652	0.5463523548071665
14055	300	6.344266229703486	6.317397411144991	-0.20756587707914947	0.5450874697578476
14056	300	6.331625895683974	6.304933042971166	-0.211802549407331	0.5407822913250669
14057	300	6.316423349422919	6.2899332366101275	-0.2161082935597093	0.535948704240439
14058	300	6.309660703946196	6.2833288150554285	-0.22031945106410344	0.5320305821094665
14059	300	6.299436671257813	6.273281642231878	-0.22464527283650335	0.5276118969625839
14060	300	6.3033816904313245	6.277316559518947	-0.2286282659024396	0.525020630913242
14061	300	6.300591509148132	6.274631823993343	-0.2333652166591085	0.5215261394533914
14062	300	6.2890455010645665	6.2632429327930375	-0.2383538483732365	0.5167869215103951
14063	300	6.284836750099817	6.259153666894772	-0.24336577470587206	0.5127781677341278
14064	300	6.276022367454808	6.250488536195363	-0.24844137626479074	0.5080617071213466
