frameId	detectionId	distance	projX	projY	projZ
0	100	6.23721241645	6.22969	0.301185	-0.055397
2222	2222	2222	2222	2222	2222
1	100	6.22631857408	6.21885	0.299713	-0.055855
2222	2222	2222	2222	2222	2222
2	100	6.22679714638	6.21925	0.301484	-0.055132
2222	2222	2222	2222	2222	2222
3	100	6.22163215318	6.21409	0.301373	-0.054465
2222	2222	2222	2222	2222	2222
4	100	6.21519756001	6.20768	0.30077	-0.054103
2222	2222	2222	2222	2222	2222
5	100	6.21637990276	6.20885	0.301293	-0.052757
2222	2222	2222	2222	2222	2222
6	100	6.22215768678	6.21459	0.302472	-0.051265
2222	2222	2222	2222	2222	2222
7	100	6.22077854203	6.21322	0.302384	-0.050466
2222	2222	2222	2222	2222	2222
8	100	6.21879054887	6.21124	0.302155	-0.050556
2222	2222	2222	2222	2222	2222
9	100	6.20561706879	6.19812	0.300439	-0.052231
2222	2222	2222	2222	2222	2222
10	100	6.19641818394	6.18893	0.299771	-0.053676
2222	2222	2222	2222	2222	2222
11	100	6.19670161586	6.18914	0.301224	-0.054047
2222	2222	2222	2222	2222	2222
12	100	6.20362015002	6.19595	0.303676	-0.053735
2222	2222	2222	2222	2222	2222
13	100	6.20754154266	6.19977	0.305853	-0.053646
2222	2222	2222	2222	2222	2222
14	100	6.1999330201	6.19213	0.306133	-0.054572
2222	2222	2222	2222	2222	2222
15	100	6.21245232413	6.20452	0.30949	-0.052071
2222	2222	2222	2222	2222	2222
16	100	6.21400663963	6.20603	0.310625	-0.050816
2222	2222	2222	2222	2222	2222
17	100	6.19622354336	6.18831	0.30846	-0.05346
2222	2222	2222	2222	2222	2222
18	100	6.22195710315	6.2139	0.31235	-0.051327
2222	2222	2222	2222	2222	2222
19	100	6.21071262876	6.20277	0.309616	-0.052284
2222	2222	2222	2222	2222	2222
20	100	6.21276692264	6.20489	0.308578	-0.050917
2222	2222	2222	2222	2222	2222
21	100	6.22509091765	6.21721	0.309347	-0.048592
2222	2222	2222	2222	2222	2222
22	100	6.20370609609	6.196	0.30483	-0.051303
2222	2222	2222	2222	2222	2222
23	100	6.21537612154	6.20759	0.306759	-0.051241
2222	2222	2222	2222	2222	2222
24	100	6.21709574141	6.20927	0.307328	-0.052868
2222	2222	2222	2222	2222	2222
25	100	6.22123253778	6.21335	0.308164	-0.055236
2222	2222	2222	2222	2222	2222
26	100	6.21294491291	6.20508	0.307027	-0.058319
2222	2222	2222	2222	2222	2222
27	100	6.22812682028	6.22016	0.309447	-0.058445
2222	2222	2222	2222	2222	2222
28	100	6.22503231485	6.21707	0.308848	-0.06067
2222	2222	2222	2222	2222	2222
29	100	6.22381867015	6.21586	0.308289	-0.062938
2222	2222	2222	2222	2222	2222
30	100	6.20487099941	6.19704	0.304395	-0.066806
2222	2222	2222	2222	2222	2222
31	100	6.21775823551	6.20985	0.306167	-0.067396
2222	2222	2222	2222	2222	2222
32	100	6.20380350901	6.19597	0.303662	-0.070165
2222	2222	2222	2222	2222	2222
33	100	6.20836856976	6.20051	0.304361	-0.06986
2222	2222	2222	2222	2222	2222
34	100	6.20825047108	6.20041	0.304009	-0.069773
2222	2222	2222	2222	2222	2222
35	100	6.19133887783	6.1836	0.301261	-0.070781
2222	2222	2222	2222	2222	2222
36	100	6.19163477455	6.1839	0.301328	-0.070167
2222	2222	2222	2222	2222	2222
37	100	6.20468786561	6.19685	0.304292	-0.067882
2222	2222	2222	2222	2222	2222
38	100	6.22084354847	6.21287	0.307886	-0.065932
2222	2222	2222	2222	2222	2222
39	100	6.22619847678	6.21815	0.309739	-0.06496
2222	2222	2222	2222	2222	2222
40	100	6.21008923255	6.20208	0.30813	-0.066842
2222	2222	2222	2222	2222	2222
41	100	6.23294345907	6.22473	0.313161	-0.065198
2222	2222	2222	2222	2222	2222
42	100	6.22508195355	6.21686	0.312533	-0.067972
2222	2222	2222	2222	2222	2222
43	100	6.21712015438	6.20888	0.312102	-0.070601
2222	2222	2222	2222	2222	2222
44	100	6.21557765795	6.20729	0.312679	-0.07203
2222	2222	2222	2222	2222	2222
45	100	6.22529119746	6.21692	0.314654	-0.071757
2222	2222	2222	2222	2222	2222
46	100	6.22642462747	6.21801	0.315449	-0.072161
2222	2222	2222	2222	2222	2222
47	100	6.22180331423	6.21338	0.315246	-0.073249
2222	2222	2222	2222	2222	2222
48	100	6.21318452795	6.20478	0.314392	-0.074329
